ticker,industry_code,is_financial,is_reit,company_name
011280,1721,0,0,태림포장
011300,13213,0,0,우성머티리얼스
011320,303,0,0,유니크
011330,303,0,0,유니켐
011370,41112,0,0,서한
011390,23322,0,0,부산산업
011420,911,0,0,갤럭시아에스엠
011500,20421,0,0,한농화성
011560,422,0,0,세보엠이씨
011690,2611,0,0,와이투솔루션
011700,29132,0,0,한신기계공업
011760,46800,0,0,현대코퍼레이션
011780,201,0,0,금호석유화학
011790,204,0,0,SKC
011810,46800,0,0,STX
011930,2612,0,0,신성이엔지
012030,62021,0,0,DB
012160,24123,0,0,영흥
012170,591,0,0,아센디오
012200,291,0,0,계양전기
012210,25912,0,0,삼미금속
012280,303,0,0,영화금속
012320,649,1,0,경동인베스트
012330,303,0,0,현대모비스
012340,303,0,0,뉴인텍
012450,31321,0,0,한화에어로스페이스
012610,20132,0,0,경인양행
012620,24123,0,0,원일특강
012630,649,0,0,HDC
012690,17902,0,0,모나리자
012700,46712,0,0,리드코프
012750,75320,0,0,에스원
012790,212,0,0,신일제약
012800,24221,0,0,대창
012860,303,0,0,모베이스전자
013000,467,0,0,세우글로벌
013030,241,0,0,하이록코리아
013120,41112,0,0,동원개발
013310,303,0,0,아진산업
013360,41221,0,0,일성건설
013520,303,0,0,화승코퍼레이션
013570,64992,0,0,디와이
013580,412,0,0,계룡건설산업
013700,41121,0,0,까뮤이앤씨
013720,303,0,0,청보
013810,29229,0,0,스페코
013870,303,0,0,지엠비코리아
013890,320,0,0,지누스
013990,46414,0,0,아가방컴퍼니
014100,468,0,0,메디앙스
014130,49301,0,0,한익스프레스
014160,1721,0,0,대영포장
014190,46739,0,0,원익큐브
014280,2413,0,0,금강공업
014440,2225,0,0,영보화학
014470,681,0,0,부방
014530,19221,0,0,극동유화
014570,212,0,0,고려제약
014580,23312,0,0,태경비케이
014620,24133,0,0,성광벤드
014680,20129,0,0,한솔케미칼
014710,102,0,0,사조씨푸드
014790,41221,0,0,HL D&I
014820,222,0,0,동원시스템즈
014830,20129,0,0,유니드
014910,26291,0,0,성문전자
014940,291,0,0,오리엔탈정공
014950,21212,0,0,삼익제약
014970,17223,0,0,삼륭물산
014990,14112,0,0,인디에프
015020,68121,0,0,이스타코
015230,303,0,0,대창단조
015260,2622,0,0,에이엔피
015360,715,0,0,INVENI
015590,29176,0,0,DKME
015710,26410,0,0,코콤
015750,303,0,0,성우하이텍
015760,35120,0,0,한국전력공사
015860,64992,0,0,일진홀딩스
015890,20129,0,0,태경산업
016090,14112,0,0,대현
016100,172,0,0,리더스코스메틱
016250,4112,0,0,SGC E&C
016360,66121,1,0,삼성증권
016380,24122,0,0,KG스틸
016450,1419,0,0,한세예스24홀딩스
016580,212,0,0,환인제약
016590,172,0,0,신대양제지
016600,649,1,0,큐캐피탈
016610,66121,1,0,DB증권
016670,467,0,0,디모아
016710,715,0,0,대성홀딩스
016740,303,0,0,두올
016790,109,0,0,현대사료
016800,32029,0,0,퍼시스
016880,64992,0,0,웅진
016920,465,0,0,카스
017000,41112,0,0,신원종합개발
017040,28123,0,0,광명전기
017180,212,0,0,명문제약
017250,265,0,0,인터엠
017370,292,0,0,우신시스템
017390,35200,0,0,서울도시가스
017480,2419,0,0,삼현철강
017510,2599,0,0,세명전기
017550,29241,0,0,수산세보틱스
017650,179,0,0,대림제지
017670,61220,0,0,SK텔레콤
017800,29162,0,0,현대엘리베이터
017810,108,0,0,풀무원
017860,204,0,0,DS단석
017890,204,0,0,한국알콜
017900,2612,0,0,광전자
017940,46713,0,0,E1
017960,2512,0,0,한국카본
018000,29119,0,0,유니슨
018120,11121,0,0,진로발효
018250,20422,0,0,애경산업
018260,62021,0,0,삼성에스디에스
018290,204,0,0,브이티
018310,2511,0,0,삼목에스폼
018470,24222,0,0,조일알미늄
018500,303,0,0,동원금속
018620,21230,0,0,우진비앤지
018670,46713,0,0,SK가스
018680,2121,0,0,서울제약
018700,464,0,0,졸스
018880,29172,0,0,한온시스템
019010,47111,0,0,베뉴지
019170,212,0,0,신풍제약
019180,289,0,0,티에이치엔
019210,25934,0,0,와이지-원
019490,265,0,0,엑시큐어하이트론
019540,303,0,0,일지테크
019550,64209,1,0,SBI인베스트먼트
019570,64209,1,0,플루토스
019660,468,0,0,글로본
019680,851,0,0,대교
019770,292,0,0,서연탑메탈
